Grp	Grpseq	codepoint	Graph	Name	NumericValue	BidirectionalClass	BidirectionalMirrored	Block	CanonicalCombiningClass	CantoneseReading	Category	DecompositionMapping	DecompositionType	Definition	HangulReading	JapaneseKunReading	JapaneseOnReading	KoreanReading	MandarinReading	AliasName	AliasKind	NumericType	OldName	SimpleLowerCaseMapping	SimpleTitleCaseMapping	SimpleUpperCaseMapping	SimplifiedVariant	TraditionalVariant	UnicodeRadicalStrokeCounts	VietnameseReading	IsAscii	IsBmp	Plane
94	1	12877	㉍	CIRCLED NUMBER SIXTY ON BLACK SQUARE	60	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	-	Canonical	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
95	1	12878	㉎	CIRCLED NUMBER SEVENTY ON BLACK SQUARE	70	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	-	Canonical	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
96	1	12879	㉏	CIRCLED NUMBER EIGHTY ON BLACK SQUARE	80	LeftToRight	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	-	Canonical	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
97	1	12880	㉐	PARTNERSHIP SIGN	-	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherSymbol	PTE	Square	-	-	-	-	-	-			None	-	-	-	-	-	-		-	False	True	0
98	1	12881	㉑	CIRCLED NUMBER TWENTY ONE	21	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	21	Circle	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
99	1	12882	㉒	CIRCLED NUMBER TWENTY TWO	22	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	22	Circle	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
100	1	12883	㉓	CIRCLED NUMBER TWENTY THREE	23	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	23	Circle	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
101	1	12884	㉔	CIRCLED NUMBER TWENTY FOUR	24	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	24	Circle	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
102	1	12885	㉕	CIRCLED NUMBER TWENTY FIVE	25	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	25	Circle	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
103	1	12886	㉖	CIRCLED NUMBER TWENTY SIX	26	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	26	Circle	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
104	1	12887	㉗	CIRCLED NUMBER TWENTY SEVEN	27	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	27	Circle	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
105	1	12888	㉘	CIRCLED NUMBER TWENTY EIGHT	28	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	28	Circle	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
106	1	12889	㉙	CIRCLED NUMBER TWENTY NINE	29	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	29	Circle	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
107	1	12890	㉚	CIRCLED NUMBER THIRTY	30	OtherNeutral	False	Enclosed CJK Letters and Months	NotReordered	-	OtherNumber	30	Circle	-	-	-	-	-	-			Numeric	-	-	-	-	-	-		-	False	True	0
